,index,rank,country_abrv,year
0,22,23,POR,1993
1,187,21,POR,1993
2,353,20,POR,1993
3,520,20,POR,1993
4,688,20,POR,1993
5,855,19,POR,1994
6,1022,19,POR,1994
7,1194,22,POR,1994
8,1363,22,POR,1994
9,1534,22,POR,1994
10,1710,25,POR,1994
11,1882,24,POR,1994
12,2056,25,POR,1994
13,2227,21,POR,1994
14,2404,20,POR,1994
15,2583,19,POR,1995
16,2757,14,POR,1995
17,2938,16,POR,1995
18,3117,16,POR,1995
19,3290,10,POR,1995
20,3469,9,POR,1995
21,3664,24,POR,1995
22,3830,17,POR,1995
23,4009,16,POR,1995
24,4189,16,POR,1995
25,4372,16,POR,1996
26,4558,20,POR,1996
27,4740,20,POR,1996
28,4920,18,POR,1996
29,5096,11,POR,1996
30,5280,12,POR,1996
31,5466,14,POR,1996
32,5650,13,POR,1996
33,5838,15,POR,1996
34,6026,13,POR,1996
35,6216,13,POR,1997
36,6408,15,POR,1997
37,6599,16,POR,1997
38,6796,21,POR,1997
39,6996,29,POR,1997
40,7189,30,POR,1997
41,7375,24,POR,1997
42,7564,21,POR,1997
43,7762,27,POR,1997
44,7957,30,POR,1997
45,8153,34,POR,1998
46,8351,40,POR,1998
47,8542,39,POR,1998
48,8734,39,POR,1998
49,8929,42,POR,1998
50,9122,43,POR,1998
51,9314,41,POR,1998
52,9506,39,POR,1998
53,9703,40,POR,1998
54,9895,36,POR,1998
55,10074,17,POR,1999
56,10272,17,POR,1999
57,10470,17,POR,1999
58,10670,15,POR,1999
59,10872,15,POR,1999
60,11071,12,POR,1999
61,11273,12,POR,1999
62,11475,12,POR,1999
63,11678,13,POR,1999
64,11880,13,POR,1999
65,12084,15,POR,1999
66,12286,15,POR,1999
67,12488,15,POR,2000
68,12690,15,POR,2000
69,12892,15,POR,2000
70,13094,15,POR,2000
71,13296,15,POR,2000
72,13498,15,POR,2000
73,13692,7,POR,2000
74,13894,7,POR,2000
75,14097,7,POR,2000
76,14300,7,POR,2000
77,14503,7,POR,2000
78,14705,6,POR,2000
79,14908,6,POR,2001
80,15111,6,POR,2001
81,15312,4,POR,2001
82,15516,5,POR,2001
83,15719,5,POR,2001
84,15922,5,POR,2001
85,16127,7,POR,2001
86,16332,9,POR,2001
87,16531,5,POR,2001
88,16734,5,POR,2001
89,16936,4,POR,2001
90,17139,4,POR,2001
91,17342,4,POR,2002
92,17545,4,POR,2002
93,17750,6,POR,2002
94,17952,5,POR,2002
95,18155,5,POR,2002
96,18360,7,POR,2002
97,18564,8,POR,2002
98,18770,11,POR,2002
99,18974,12,POR,2002
100,19177,12,POR,2002
101,19379,11,POR,2002
102,19582,11,POR,2003
103,19788,12,POR,2003
104,19993,12,POR,2003
105,20197,12,POR,2003
106,20403,14,POR,2003
107,20608,15,POR,2003
108,20813,16,POR,2003
109,21017,16,POR,2003
110,21222,17,POR,2003
111,21426,17,POR,2003
112,21631,18,POR,2003
113,21834,17,POR,2003
114,22039,17,POR,2004
115,22242,17,POR,2004
116,22446,17,POR,2004
117,22650,17,POR,2004
118,22857,20,POR,2004
119,23063,22,POR,2004
120,23259,12,POR,2004
121,23463,12,POR,2004
122,23667,11,POR,2004
123,23870,8,POR,2004
124,24074,8,POR,2004
125,24280,9,POR,2004
126,24485,9,POR,2005
127,24690,9,POR,2005
128,24895,9,POR,2005
129,25100,9,POR,2005
130,25305,9,POR,2005
131,25509,8,POR,2005
132,25716,10,POR,2005
133,25920,9,POR,2005
134,26125,9,POR,2005
135,26330,9,POR,2005
136,26536,10,POR,2005
137,26741,10,POR,2005
138,26947,10,POR,2006
139,27152,10,POR,2006
140,27357,10,POR,2006
141,27561,8,POR,2006
142,27764,7,POR,2006
143,27970,8,POR,2006
144,28176,8,POR,2006
145,28382,9,POR,2006
146,28587,9,POR,2006
147,28791,8,POR,2006
148,28997,8,POR,2006
149,29204,8,POR,2007
150,29411,8,POR,2007
151,29618,8,POR,2007
152,29824,7,POR,2007
153,30031,7,POR,2007
154,30237,6,POR,2007
155,30447,8,POR,2007
156,30657,10,POR,2007
157,30863,8,POR,2007
158,31071,8,POR,2007
159,31279,8,POR,2007
160,31486,8,POR,2007
161,31693,8,POR,2008
162,31900,8,POR,2008
163,32107,8,POR,2008
164,32315,9,POR,2008
165,32522,9,POR,2008
166,32731,11,POR,2008
167,32936,9,POR,2008
168,33143,9,POR,2008
169,33350,9,POR,2008
170,33558,10,POR,2008
171,33765,10,POR,2008
172,33974,11,POR,2008
173,34181,11,POR,2009
174,34388,12,POR,2009
175,34593,10,POR,2009
176,34801,11,POR,2009
177,35008,11,POR,2009
178,35215,11,POR,2009
179,35428,17,POR,2009
180,35635,17,POR,2009
181,35842,17,POR,2009
182,36042,10,POR,2009
183,36244,5,POR,2009
184,36451,5,POR,2009
185,36658,5,POR,2010
186,36866,6,POR,2010
187,37071,4,POR,2010
188,37277,3,POR,2010
189,37484,3,POR,2010
190,37696,8,POR,2010
191,37903,8,POR,2010
192,38110,8,POR,2010
193,38317,8,POR,2010
194,38524,8,POR,2010
195,38731,8,POR,2010
196,38938,8,POR,2011
197,39145,8,POR,2011
198,39353,9,POR,2011
199,39559,8,POR,2011
200,39766,8,POR,2011
201,39972,7,POR,2011
202,40179,7,POR,2011
203,40386,8,POR,2011
204,40589,5,POR,2011
205,40799,8,POR,2011
206,41005,7,POR,2011
207,41213,7,POR,2011
208,41422,7,POR,2012
209,41630,6,POR,2012
210,41840,7,POR,2012
211,42047,5,POR,2012
212,42256,5,POR,2012
213,42470,10,POR,2012
214,42674,5,POR,2012
215,42883,5,POR,2012
216,43092,4,POR,2012
217,43301,3,POR,2012
218,43512,4,POR,2012
219,43725,7,POR,2012
220,43935,7,POR,2013
221,44145,6,POR,2013
222,44355,7,POR,2013
223,44563,5,POR,2013
224,44773,5,POR,2013
225,44984,6,POR,2013
226,45195,7,POR,2013
227,45405,7,POR,2013
228,45619,11,POR,2013
229,45832,14,POR,2013
230,46033,5,POR,2013
231,46243,5,POR,2013
232,46453,5,POR,2014
233,46662,4,POR,2014
234,46872,4,POR,2014
235,47081,3,POR,2014
236,47291,3,POR,2014
237,47502,4,POR,2014
238,47719,11,POR,2014
239,47929,11,POR,2014
240,48139,11,POR,2014
241,48347,9,POR,2014
242,48555,7,POR,2014
243,48765,7,POR,2014
244,48975,7,POR,2015
245,49184,7,POR,2015
246,49393,7,POR,2015
247,49602,7,POR,2015
248,49811,7,POR,2015
249,50020,7,POR,2015
250,50229,7,POR,2015
251,50437,6,POR,2015
252,50646,6,POR,2015
253,50853,4,POR,2015
254,51062,4,POR,2015
255,51274,7,POR,2015
256,51483,7,POR,2016
257,51692,7,POR,2016
258,51901,7,POR,2016
259,52111,8,POR,2016
260,52320,8,POR,2016
261,52529,8,POR,2016
262,52736,6,POR,2016
263,52946,6,POR,2016
264,53157,7,POR,2016
265,53369,8,POR,2016
266,53580,8,POR,2016
267,53791,8,POR,2016
268,54002,8,POR,2017
269,54213,8,POR,2017
270,54424,8,POR,2017
271,54635,8,POR,2017
272,54846,8,POR,2017
273,55057,8,POR,2017
274,55264,4,POR,2017
275,55477,6,POR,2017
276,55685,3,POR,2017
277,55896,3,POR,2017
278,56107,3,POR,2017
279,56318,3,POR,2017
280,56529,3,POR,2018
281,56740,3,POR,2018
282,56951,3,POR,2018
283,57163,4,POR,2018
284,57374,4,POR,2018
285,57585,4,POR,2018
286,21,22,URU,1993
287,181,15,URU,1993
288,350,17,URU,1993
289,518,18,URU,1993
290,685,17,URU,1993
291,852,16,URU,1994
292,1020,17,URU,1994
293,1190,17,URU,1994
294,1355,14,URU,1994
295,1530,18,URU,1994
296,1708,23,URU,1994
297,1894,36,URU,1994
298,2069,38,URU,1994
299,2243,37,URU,1994
300,2421,37,URU,1994
301,2600,36,URU,1995
302,2772,29,URU,1995
303,2954,32,URU,1995
304,3137,36,URU,1995
305,3299,19,URU,1995
306,3480,20,URU,1995
307,3676,36,URU,1995
308,3837,24,URU,1995
309,4023,30,URU,1995
310,4205,32,URU,1995
311,4390,34,URU,1996
312,4574,36,URU,1996
313,4755,35,URU,1996
314,4934,32,URU,1996
315,5123,38,URU,1996
316,5324,56,URU,1996
317,5505,53,URU,1996
318,5687,50,URU,1996
319,5877,54,URU,1996
320,6056,43,URU,1996
321,6246,43,URU,1997
322,6435,42,URU,1997
323,6637,54,URU,1997
324,6826,51,URU,1997
325,7011,44,URU,1997
326,7209,50,URU,1997
327,7398,47,URU,1997
328,7595,52,URU,1997
329,7778,43,URU,1997
330,7967,40,URU,1997
331,8159,40,URU,1998
332,8352,41,URU,1998
333,8540,37,URU,1998
334,8733,38,URU,1998
335,8922,35,URU,1998
336,9113,34,URU,1998
337,9308,35,URU,1998
338,9508,41,URU,1998
339,9710,47,URU,1998
340,9935,76,URU,1998
341,10120,63,URU,1999
342,10320,65,URU,1999
343,10518,65,URU,1999
344,10722,67,URU,1999
345,10924,67,URU,1999
346,11133,74,URU,1999
347,11303,42,URU,1999
348,11506,43,URU,1999
349,11706,41,URU,1999
350,11909,42,URU,1999
351,12111,42,URU,1999
352,12317,46,URU,1999
353,12520,47,URU,2000
354,12717,42,URU,2000
355,12921,44,URU,2000
356,13121,42,URU,2000
357,13325,44,URU,2000
358,13526,43,URU,2000
359,13720,35,URU,2000
360,13923,36,URU,2000
361,14122,32,URU,2000
362,14327,34,URU,2000
363,14532,36,URU,2000
364,14731,32,URU,2000
365,14935,33,URU,2001
366,15138,33,URU,2001
367,15342,34,URU,2001
368,15550,39,URU,2001
369,15747,33,URU,2001
370,15957,40,URU,2001
371,16150,30,URU,2001
372,16347,24,URU,2001
373,16547,21,URU,2001
374,16752,23,URU,2001
375,16956,24,URU,2001
376,17157,22,URU,2001
377,17360,22,URU,2002
378,17565,24,URU,2002
379,17766,22,URU,2002
380,17968,21,URU,2002
381,18174,24,URU,2002
382,18376,23,URU,2002
383,18580,24,URU,2002
384,18782,23,URU,2002
385,18987,25,URU,2002
386,19188,23,URU,2002
387,19396,28,URU,2002
388,19599,28,URU,2003
389,19804,28,URU,2003
390,20008,27,URU,2003
391,20212,27,URU,2003
392,20417,28,URU,2003
393,20624,31,URU,2003
394,20823,26,URU,2003
395,21026,24,URU,2003
396,21227,22,URU,2003
397,21431,22,URU,2003
398,21634,20,URU,2003
399,21838,21,URU,2003
400,22042,21,URU,2004
401,22247,22,URU,2004
402,22452,23,URU,2004
403,22658,25,URU,2004
404,22863,25,URU,2004
405,23071,29,URU,2004
406,23278,32,URU,2004
407,23470,19,URU,2004
408,23675,19,URU,2004
409,23878,17,URU,2004
410,24085,19,URU,2004
411,24287,16,URU,2004
412,24493,17,URU,2005
413,24699,18,URU,2005
414,24902,15,URU,2005
415,25107,16,URU,2005
416,25312,16,URU,2005
417,25519,18,URU,2005
418,25724,18,URU,2005
419,25936,25,URU,2005
420,26141,25,URU,2005
421,26338,17,URU,2005
422,26544,18,URU,2005
423,26749,18,URU,2005
424,26955,18,URU,2006
425,27163,21,URU,2006
426,27370,23,URU,2006
427,27575,22,URU,2006
428,27779,22,URU,2006
429,27976,14,URU,2006
430,28182,14,URU,2006
431,28388,15,URU,2006
432,28595,17,URU,2006
433,28812,29,URU,2006
434,29018,29,URU,2006
435,29226,30,URU,2007
436,29427,24,URU,2007
437,29636,26,URU,2007
438,29840,23,URU,2007
439,30048,23,URU,2007
440,30261,30,URU,2007
441,30458,19,URU,2007
442,30668,21,URU,2007
443,30874,19,URU,2007
444,31080,17,URU,2007
445,31298,27,URU,2007
446,31506,28,URU,2007
447,31713,28,URU,2008
448,31922,30,URU,2008
449,32128,29,URU,2008
450,32333,27,URU,2008
451,32541,28,URU,2008
452,32746,26,URU,2008
453,32949,22,URU,2008
454,33158,24,URU,2008
455,33363,22,URU,2008
456,33568,20,URU,2008
457,33778,23,URU,2008
458,33985,23,URU,2008
459,34192,23,URU,2009
460,34398,22,URU,2009
461,34604,21,URU,2009
462,34806,16,URU,2009
463,35013,16,URU,2009
464,35221,17,URU,2009
465,35431,20,URU,2009
466,35639,21,URU,2009
467,35853,28,URU,2009
468,36057,25,URU,2009
469,36258,19,URU,2009
470,36466,20,URU,2009
471,36674,21,URU,2010
472,36879,19,URU,2010
473,37085,18,URU,2010
474,37292,18,URU,2010
475,37497,16,URU,2010
476,37694,6,URU,2010
477,37901,6,URU,2010
478,38109,7,URU,2010
479,38316,7,URU,2010
480,38523,7,URU,2010
481,38730,7,URU,2010
482,38937,7,URU,2011
483,39144,7,URU,2011
484,39351,7,URU,2011
485,39558,7,URU,2011
486,39765,7,URU,2011
487,39983,18,URU,2011
488,40177,5,URU,2011
489,40383,5,URU,2011
490,40588,4,URU,2011
491,40795,4,URU,2011
492,41002,4,URU,2011
493,41210,4,URU,2011
494,41419,4,URU,2012
495,41628,4,URU,2012
496,41837,4,URU,2012
497,42045,3,URU,2012
498,42254,3,URU,2012
499,42462,2,URU,2012
500,42672,3,URU,2012
501,42882,4,URU,2012
502,43093,5,URU,2012
503,43305,7,URU,2012
504,43519,11,URU,2012
505,43734,16,URU,2012
506,43944,16,URU,2013
507,44154,16,URU,2013
508,44364,16,URU,2013
509,44575,17,URU,2013
510,44785,17,URU,2013
511,44997,19,URU,2013
512,45200,12,URU,2013
513,45410,12,URU,2013
514,45615,7,URU,2013
515,45824,6,URU,2013
516,46034,6,URU,2013
517,46244,6,URU,2013
518,46454,6,URU,2014
519,46665,7,URU,2014
520,46874,6,URU,2014
521,47083,5,URU,2014
522,47294,6,URU,2014
523,47505,7,URU,2014
524,47714,6,URU,2014
525,47924,6,URU,2014
526,48135,7,URU,2014
527,48346,8,URU,2014
528,48558,10,URU,2014
529,48768,10,URU,2014
530,48978,10,URU,2015
531,49186,9,URU,2015
532,49395,9,URU,2015
533,49603,8,URU,2015
534,49812,8,URU,2015
535,50021,8,URU,2015
536,50235,13,URU,2015
537,50449,18,URU,2015
538,50658,18,URU,2015
539,50869,20,URU,2015
540,51070,12,URU,2015
541,51278,11,URU,2015
542,51487,11,URU,2016
543,51696,11,URU,2016
544,51905,11,URU,2016
545,52112,9,URU,2016
546,52321,9,URU,2016
547,52530,9,URU,2016
548,52742,12,URU,2016
549,52952,12,URU,2016
550,53159,9,URU,2016
551,53370,9,URU,2016
552,53581,9,URU,2016
553,53792,9,URU,2016
554,54003,9,URU,2017
555,54214,9,URU,2017
556,54425,9,URU,2017
557,54642,15,URU,2017
558,54853,15,URU,2017
559,55065,16,URU,2017
560,55277,17,URU,2017
561,55488,17,URU,2017
562,55698,16,URU,2017
563,55910,17,URU,2017
564,56125,21,URU,2017
565,56336,21,URU,2017
566,56548,22,URU,2018
567,56759,22,URU,2018
568,56970,22,URU,2018
569,57176,17,URU,2018
570,57387,17,URU,2018
571,57595,14,URU,2018
572,35,36,KOR,1993
573,202,36,KOR,1993
574,370,37,KOR,1993
575,539,39,KOR,1993
576,709,41,KOR,1993
577,878,42,KOR,1994
578,1043,40,KOR,1994
579,1212,40,KOR,1994
580,1378,37,KOR,1994
581,1549,37,KOR,1994
